"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"118","A210020101","A2102011","La Weiss à Orbey","STD","2008-01-01 00:00:00+01",NA,"26",1009485,6788886,"Conseil Général du Haut-Rhin","Vigicrues/HydroPortail/Hydro 2"
"119","A211030001","A2113010","La Béhine à Lapoutroie","STD","1983-11-14 00:00:00+01",NA,"26",1010058,6791616,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"120","A212020001","A2120200","La Weiss à Kaysersberg - Rue de la Râperie","STD","2006-08-30 00:00:00+02",NA,"26",1014467,6792265,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"121","A212020002","A2122010","La Weiss à Kaysersberg - Fréland-Gare [Ancienne]","STD","1957-01-01 00:00:00+01","2007-01-09 11:20:00+01","26",1013309,6792394,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"122","A213020001","A2132010","La Weiss à Sigolsheim","STD","1968-12-09 00:00:00+01","1988-03-10 12:00:00+01","26",1020472,6789867,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"123","A214010001","A2052020","La Fecht à Ostheim","STD","1972-04-28 00:00:00+01",NA,"26",1024743,6793360,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"124","A214010101","A2052010","La Fecht à Bennwihr [gare] - ancienne","STD","1957-10-01 00:00:00+01","1971-01-01 12:00:00+01","26",1023708,6790372,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"125","A214010102",NA,"La Fecht à Bennwihr [gare]","STD","2019-11-26 00:00:00+01",NA,"26",1023669,6790317,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail"
"126","A215030001","A2073010","Le ruisseau le Strengbach à Ribeauvillé","STD","1971-06-25 00:00:00+01","2003-01-10 12:50:00+01","26",1019404,6797553,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"127","A215030101","A2153020","Le ruisseau le Strengbach à Aubure","STD","1986-09-01 00:00:00+02","2000-01-01 00:00:00+01","26",1012180,6798499,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"128","A216010001","A2062010","La Fecht à Guémar","STD","1960-01-01 00:00:00+01","1974-01-01 12:00:00+01","26",1027019,6796540,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"129","A222000101",NA,"Le ruisseau le Riedbrunnen à Colmar [Ried]","STD","2019-11-14 00:00:00+01",NA,"26",1030580,6793902,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail"
"130","A223030201","A1342010","Le canal Vauban à Volgelsheim","STD","1981-05-27 00:00:00+02","1993-11-10 12:00:00+01","26",1037092,6777464,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"131","A225020001","A2250200","Le ruisseau la Blind à Riedwihr [Pont D 21b]","STD","2006-06-08 00:00:00+02","2015-11-17 12:00:00+01","26",1030673,6789964,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"132","A226020001","A2260200","Le ruisseau la Blind à Baldenheim","STD","2004-03-17 00:00:00+01","2019-02-05 00:00:00+01","26",1034778,6804633,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"133","A226020101","A2260020","Le ruisseau la Blind à Ohnenheim","STD","2005-01-01 00:00:00+01","2013-07-10 10:16:00+02","26",1033570,6797130,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"134","A226032001","A2260320","L'Ill à Strasbourg [Montagne-Verte]","STD","2011-04-04 00:00:00+02","2021-07-16 02:00:00+02","26",1048360,6840610,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"135","A226032002",NA,"L'Ill à Strasbourg [Montagne-Verte] - Débimètre","DEB","2018-01-08 00:00:00+01",NA,"26",1048360,6840610,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail"
"136","A226032101",NA,"Le ruisseau le Neugraben à Guémar [Ried]","STD","2019-08-08 00:00:00+02",NA,"26",1031167,6798262,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail"
"137","A228003001","A2280350","L'Ill à Strasbourg [Chasseur Froid, La Robertsau]","STD","1901-01-01 00:00:00+00:09:21",NA,"26",1052477,6846472,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
