numero,nom,x1,a1,b1,x2,a2,b2,x3,a3,b3,x4,a4,b4
110,"MICRO.C2-126020-1",2.13,0.0615,0.016,6.97,0.0568,0.026,,0.0535,0.049,,,
115,"133376.3",0.65,0.2387,0.015,,0.2556,0.004,,,,,,
118,"COURANTOMETRE",,0.1,0,,,,,,,,,
121,"C2 300813 20mm",2.32,0.0633,0.016,7.6,0.0564,0.032,,0.0539,0.051,,,
122,"122 (1-107388)",2.05,0.0639,0.01,8.08,0.0561,0.026,,0.0535,0.047,,,
125,"C2 284142 20mm",1.76,0.0589,0.03,7.24,0.0572,0.033,,0.0543,0.054,,,
128,"128 (A-137642/OTT165148) 20 mm",,0.1294,0.014,,,,,,,,,
129,"129 (A-137647/OTT165148) 20 mm",,0.129,0.016,,,,,,,,,
130,"130 (A-137642/OTT165148) 10 kg",,0.1274,0.02,,,,,,,,,
131,"131 (A-137647/OTT165148) 10 kg",,0.1272,0.016,,,,,,,,,
140,"140 C2 106158 - h1-107388",2.05,0.0639,0.01,8.08,0.0561,0.026,,0.0535,0.047,,,
144,"144 (4-184748) - V< 2.50 m/s",,0.1343,0.021,,,,,,,,,
145,"145 A-137642 (étalon) 20 mm",,0.1294,0.014,,,,,,,,,
146,"146 A-137642 (étalon) 10 kg",,0.1274,0.02,,,,,,,,,
147,"147 A-137647 (étalon) 20 mm",,0.129,0.016,,,,,,,,,
148,"148 A-137647 (étalon) 10 kg",,0.1272,0.016,,,,,,,,,
149,"149 (4-184748) ",,0.1343,0.021,,,,,,,,,
150,"150 R-184761 (étalon) 20 mm",0.8,0.2424,0.014,,0.2512,0.007,,,,,,
151,"151 (OTT 16376 - 3-00045) 9 mm",1.33,0.233,0.036,,0.257,0.004,,,,,,
152,"152 (OTT 16376 - 3-00046) 9 mm",1.31,0.2377,0.032,,0.259,0.004,,,,,,
153,"Couranto 2 (EM23034 UNIT23030)",,1,0,,,,,,,,,
154,"Couranto 1 (EM23000 UNIT23000)",,1,0,,,,,,,,,
199,"SVR",,0.1,0,,,,,,,,,
200,"C2-249743",1.9,0.1051,0.011,,0.103,0.015,,,,,,
263,"256263",2.22,0.0588,0.033,7.6,0.057,0.037,,0.0545,0.056,,,
300,"205541",2.22,0.062,0.019,7.31,0.0566,0.031,,0.054,0.05,,,
301,"205542.1",1.88,0.06320000000000001,0.017,7.33,0.0568,0.029,,0.0538,0.051,,,
400,"Perche ADC",,0.3,0,,,,,,,,,
401,"C2-133350-LEPUY",7.5,0.103,0.013,18.77,0.1018,0.022,,0,0,,,
402,"C2-133351-LEPUY",5.83,0.1031,0.013,18.79,0.1019,0.02,,0,0,,,
403,"C2-94692-LEPUY",2.4,0.0598,0.016,7.88,0.0573,0.022,,0.054,0.048,,,
404,"C2/87231",,0.1023,0.017,,,,,,,,,
405,"C2-1-300812-LEPUY(percheOTT20)",2.71,0.06320000000000001,0.015,8,0.0562,0.034,17.66,0.0537,0.054,,0,0
406,"C2-2-284120-LEPUY(percheOTT20)",1.67,0.105,0.013,19.25,0.1032,0.016,,0,0,,,
407,"C2-5-284141-LEPUY(percheOTT20)",7.88,0.0572,0.033,17.47,0.0539,0.059,,0,0,,,
408,"C31-1-288621-LEPUYsaumon100kg",0.63,0.2295,0.017,,0.2503,0.004,,,,,,
409,"C31-1-288622-LEPUYsaumon100kg",0.63,0.2295,0.017,,0.2503,0.004,,,,,,
410,"C31-1-288620-LEPUYsaumon100kg",0.63,0.2295,0.017,,0.2503,0.004,,,,,,
411,"C31-1-288620-LEPUYsaumon50kg",0.67,0.2295,0.017,,0.2488,0.004,,,,,,
412,"C31-1-288621-LEPUYsaumon50kg",0.67,0.2295,0.017,,0.2488,0.004,,,,,,
413,"C31-1-288622-LEPUYsaumon50kg",0.67,0.2295,0.017,,0.2488,0.004,,,,,,
414,"C2-1-321527-LEPUY(percheOTT20)",2.63,0.0621,0.016,8,0.0564,0.031,17.64,0.0539,0.051,,0,0
415,"C2-2-284134-LEPUY(percheOTT20)",2,0.1059,0.011,19.3,0.1029,0.017,,0,0,,,
416,"C2-5-284154-LEPUY(percheOTT20)",3.5,0.0586,0.028,8,0.0566,0.035,17.52,0.0541,0.055,,0,0
417,"C2-2-23996-LEPUY",1.29,0.0878,0.044,,0.1025,0.025,,,,,,
418,"C2-2-87231-LEPUY",,0.1023,0.017,,,,,,,,,
