nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,cotedebordement,coteseuil,codehydro3,codesitehydro3,synchronisation
145,"K0550010","BAS EN BASSET","LOIRE",787596,6466797,,3257,"S","430450",37.9,5.2,580,940,1200,"K0550010",,"09/26/97 00:00:00","00",,,44200,"04/18/24 15:09:00",,,,"K055001010","K0550010",
149,"K0454010","SAINTE-SIGOLENE [VAUBARLET]","DUNIERES",795.362,6458.0112,,228,"S","430450",3.12,0.4,36,58,72,"K0454010","Coordonnées en lambert 93","12/21/15 10:10:00","00",,,58200,"12/21/15 10:11:00",,240,,"K045401001","K0454010",
150,"K4180010","GIEN VIEUX PONT","La Loire",622180,2298160,,35500,"S","430450",323,58,1510,2050,2410,"K4180010","Mise à jour débits caractéristiques le 23/04/2025.
","06/23/03 00:00:00","00",,,,"04/23/25 07:59:00",,,,"K418001010","K4180010",1
151,"K4180020","GIEN AMONT [HS]","La Loire",,,,35500,"S","430450",330,45,1700,2300,2700,"K4180020",,"06/23/03 00:00:00","00",,,,"04/02/25 14:51:00",,,,"K418001020","K4180010",1
161,"K0258010","VALS-PRES-LE-PUY [LES VIGNEAUX]","Dolaizon",767.932,6436.481,,43,"S","430450",0.264,0.1,9.800000000000001,18,24,"K0258010","Coordonnées en lambert 93","12/21/15 09:36:00","00",,,68000,"01/13/22 08:28:00",,,,"K025801001","K0258010",
162,"K2080825","LAVALETTE2","ALLIER",,,,396,"S",,,,,,,"LAVALETTE2",,"06/20/01 00:00:00","00",,,,,,,,,,
164,"K0260020","CHADRAC (PONT DU MONTEIL)","LOIRE",771120,6441372,,1327,"S","430450",17.3,3,320,530,670,"K0260020","remplace Chadrac","07/22/02 00:00:00","00",,,58842,"12/17/15 16:14:00",,,,"K026001002","K0260010",
165,"K2300810","LANGEAC","ALLIER",738572,6446510,,1804,"S","430450",22.1,7.2,280,460,590,"K2300810",,"11/14/97 00:00:00","00",,,48682,"12/17/15 14:19:00",,,,"K230081001","K2300810",
166,"K0403010","CHAMBON-SUR-LIGNON","LIGNON",802.412,6440.673,,138,"S","430450",3.06,0.22,83,140,180,"K0403010","Coordonnées en lambert 93","12/21/15 09:58:00","00",,,92379,"11/18/24 12:08:00",,,,"K040301001","K0403010",
167,"K0114020","MTIER/GAZEILLE (BESSEYRE HTE) [HS]","GAZEILLE",782013,6425971,,51,"S","430450",1.42,0.17,30,53,69,"K0114020",,"11/13/97 00:00:00","00",,,,"03/14/25 12:10:00",,,,"K011402001","K0114020",
