"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"66",2003-09-25T09:55:00.000Z,,"Perche par intégration",0.715,0.065,2022-04-05T11:14:19.000Z
"29",1998-07-01T00:00:00.000Z,,"Perche par intégration",0.85,0.23700000000000002,2022-04-05T11:14:42.000Z
"30",1998-06-09T00:00:00.000Z,,"Perche par intégration",0.88,0.4,2022-04-05T11:14:43.000Z
"24",1997-10-08T00:00:00.000Z,,"Perche par intégration",0.87,0.16,2022-04-05T11:14:46.000Z
"23",1997-09-05T00:00:00.000Z,,"Perche par intégration",0.8300000000000001,0.22,2022-04-05T11:14:47.000Z
"22",1997-08-08T00:00:00.000Z,,"Perche par intégration",0.87,0.4,2022-04-05T11:14:47.000Z
"21",1997-06-11T00:00:00.000Z,,"Perche par intégration",0.85,0.29,2022-04-05T11:14:48.000Z
"20",1997-05-15T00:00:00.000Z,,"Perche par intégration",0.92,0.81,2022-04-05T11:14:48.000Z
"19",1997-04-10T00:00:00.000Z,,"Perche par intégration",0.85,0.37,2022-04-05T11:14:49.000Z
"18",1997-03-12T00:00:00.000Z,,"Perche par intégration",0.92,0.931,2022-04-05T11:14:50.000Z
"14",1996-08-20T00:00:00.000Z,,"Perche par intégration",0.78,0.122,2022-04-05T11:14:52.000Z
"13",1996-07-10T00:00:00.000Z,,"Perche par intégration",0.87,0.34,2022-04-05T11:14:53.000Z
"12",1996-06-05T00:00:00.000Z,,"Perche par intégration",0.86,0.376,2022-04-05T11:14:54.000Z
"11",1996-05-06T00:00:00.000Z,,"Perche par intégration",0.85,0.21,2022-04-05T11:14:54.000Z
"10",1996-04-16T00:00:00.000Z,,"Perche par intégration",0.85,0.219,2022-04-05T11:14:55.000Z
"9",1996-03-25T00:00:00.000Z,,"Perche par intégration",0.88,0.41000000000000003,2022-04-05T11:14:56.000Z
"8",1996-01-31T00:00:00.000Z,,"Perche par intégration",0.92,0.65,2022-04-05T11:14:56.000Z
"7",1996-01-04T00:00:00.000Z,,"Perche par intégration",1,1.23,2022-04-05T11:14:57.000Z
"6",1995-12-07T00:00:00.000Z,,"Perche par intégration",0.87,0.23,2022-04-05T11:14:58.000Z
"5",1995-11-07T00:00:00.000Z,,"Perche par intégration",0.86,0.23,2022-04-05T11:14:58.000Z
"4",1995-10-06T00:00:00.000Z,,"Perche par intégration",1.1300000000000001,2.43,2022-04-05T11:14:59.000Z
"3",1995-09-06T00:00:00.000Z,,"Perche par intégration",0.84,0.18,2022-04-05T11:14:59.000Z
"39",1999-07-23T08:25:00.000Z,,"Perche par intégration",0.85,0.21,2022-04-05T11:14:36.000Z
"38",1999-07-08T08:50:00.000Z,,"Perche par intégration",0.84,0.20700000000000002,2022-04-05T11:14:37.000Z
"37",1999-05-27T08:45:00.000Z,,"Perche par intégration",0.89,0.4,2022-04-05T11:14:38.000Z
"36",1999-04-27T08:10:00.000Z,,"Saumon par intégration",1.07,1.8800000000000001,2022-04-05T11:14:38.000Z
"35",1999-03-10T15:15:00.000Z,1999-03-10T15:40:00.000Z,"Saumon par intégration",3.48,29.2,2022-04-05T11:14:39.000Z
"34",1999-03-10T14:25:00.000Z,1999-03-10T15:00:00.000Z,"Saumon par intégration",3.52,33.4,2022-04-05T11:14:40.000Z
"33",1999-01-15T10:30:00.000Z,,"Saumon par intégration",1.97,10.1,2022-04-05T11:14:40.000Z
"32",1998-10-13T10:20:00.000Z,,"Perche par intégration",0.97,0.963,2022-04-05T11:14:41.000Z
"31",1998-09-15T00:00:00.000Z,,"Perche par intégration",0.91,0.54,2022-04-05T11:14:41.000Z
"17",1997-02-11T00:00:00.000Z,,"Perche par intégration",0.98,1.29,2022-04-05T11:14:50.000Z
"16",1996-10-24T00:00:00.000Z,,"Perche par intégration",0.8300000000000001,0.17300000000000001,2022-04-05T11:14:51.000Z
"15",1996-09-16T00:00:00.000Z,,"Perche par intégration",0.8,0.09,2022-04-05T11:14:52.000Z
"2",1995-08-23T00:00:00.000Z,,"Perche par intégration",0.78,0.07,2022-04-05T11:15:00.000Z
