numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229357,303,"07/19/12 07:00:00",,"3","31","Remplacement du radar vega 65 par un radar vega 61",,"07/31/12 16:11:00","07/31/12 16:09:00"
229358,305,"11/02/08 00:00:00",,"5","50","crue le 02/11/2008  max codeur 2.597m à 09:06 (nivelement laisses les plus hautes : codeur OK)",,"01/09/09 15:19:00","01/09/09 15:19:00"
229359,305,"10/01/07 00:00:00",,"2","26","nouvelle courbe de tarage suite changement gestionnaire",,"01/09/09 15:20:00","01/09/09 15:20:00"
229360,305,"10/01/07 00:00:00",,"5","50","A partir de octobre 2007 gestion de la station par la DIREN CENTRE
station jusque là gérée par la DIREN AUVERGNE",,"01/09/09 15:22:00","01/09/09 15:22:00"
229361,305,"03/31/09 00:00:00",,"3","30","remplacement de l'échelle (basse eau)    changement de capteur ALFEE remplacé par LPN 8     station ""CRISTALISEE""   + pose d'un clou repere (voir photo dans fiche sécurité) au dos de la cabine H =6.06 m",,"04/01/09 17:39:00","04/01/09 17:25:00"
229362,305,"08/04/10 00:00:00",,"3","32","refection complete de la prise de pression ",,"08/06/10 15:25:00","08/06/10 15:25:00"
229363,305,"01/07/11 00:00:00",,"2","26","courbes Diren Auvergne revues et corrigées par MR",,"01/07/11 16:10:00","01/07/11 16:10:00"
229364,305,"02/03/12 17:30:00","02/23/12 17:00:00","4","42","Reconstitution des hauteurs suite au gel du mois de février 2012",,"09/07/12 14:09:00","03/09/12 14:20:00"
229365,305,"05/01/13 13:50:00",,"2","21","Détarage suite à la crue du 1er mai 2013",,"07/26/13 15:11:00","07/26/13 15:11:00"
229366,305,"09/22/15 15:50:00","11/05/15 14:50:00","5","50","Corth lié à la présence de feuille au niveau du control aval",,"04/01/16 15:37:00","04/01/16 15:36:00"
229367,305,"06/12/20 17:10:00",,"2","21","Détaré à la crue de juin 2020 cote 1.712m",,"01/11/21 16:43:00","01/11/21 16:43:00"
229368,305,"02/27/18 00:10:00","02/28/18 23:35:00","4","42","Gel station : données reconstituées bonnes ",,"03/12/18 12:58:00","03/12/18 12:58:00"
229369,305,"06/26/16 06:50:00","09/05/16 14:40:00","5","50","Corth lié à la présence de barrage de cailloux ",,"03/12/18 13:05:00","03/12/18 13:05:00"
229370,305,"09/05/16 14:40:00","11/22/16 19:10:00","5","50","Corth lié à la présence de feuilles ",,"03/12/18 13:06:00","03/12/18 13:06:00"
229371,305,"07/16/17 12:22:00","09/04/17 13:30:00","5","50","Corth lié à la présence de barrage de cailloux (détruit le 04/09 lors d'un jaugeage) ",,"03/12/18 13:07:00","03/12/18 13:07:00"
229372,305,"09/30/17 09:00:00","12/22/17 01:20:00","5","50","Corth lié à la présence de feuilles ",,"03/12/18 13:08:00","03/12/18 13:08:00"
229373,305,"09/23/18 15:50:00","11/09/18 15:20:00","5","50","Corth lié à la présence de feuille ",,"02/11/19 16:22:00","02/11/19 16:22:00"
229374,305,"09/15/19 00:00:00","10/20/19 00:00:00","5","50","CorTH feuilles ",,"03/11/20 17:03:00","03/11/20 17:03:00"
229375,305,"10/11/14 11:07:00",,"2","21",,,"01/11/21 16:45:00","01/11/21 16:45:00"
229376,305,"02/10/19 22:55:00",,"2","26","Critique validation 2020",,"01/11/21 16:49:00","01/11/21 16:49:00"
229377,305,"01/19/14 17:00:00",,"2","21",,,"01/11/21 16:50:00","01/11/21 16:50:00"
229378,305,"03/27/21 10:10:00",,"2","24","Détaré suite à la traversé du tracteur pour nettoyage en RD? date de détarage au pic du 27/03 à 55.4cm",,"04/30/21 10:20:00","04/30/21 10:20:00"
229379,306,"10/01/07 00:00:00",,"2","26","nouvelle courbe de tarage suite changement de gestionnaire",,"01/09/09 15:24:00","01/09/09 15:24:00"
229380,306,"10/01/07 00:00:00",,"5","50","A partir de octobre 2007 gestion de la station par la DIREN CENTRE
station jusque là gérée par la DIREN AUVERGNE",,"01/09/09 15:26:00","01/09/09 15:26:00"
229381,306,"11/02/08 00:00:00",,"5","50","crue le 02/11/2008 max codeur 2.268m à 01:50 (nivellement laisses les plus hautes : codeur OK)",,"01/09/09 15:28:00","01/09/09 15:28:00"
