noct,nopt,a,b,h0,hsup
10013,2,1.587e-09,3.0841,326,1016
10013,3,2.759e-05,1.713,583,1502
10014,1,0,0,0,639
10014,2,3.189e-06,2.1348,638,800
10014,3,1.105e-13,5,527,942
10014,4,0.001959,1.3966,834,1200
10015,1,0,0,0,0
10015,2,1.258e-07,2.5761,-61,800
10016,1,0,0,0,389
10016,2,1.414e-07,2.5686,389,1000
10017,1,0,0,0,0
10017,2,1.02e-08,2.5825,-501,1500
10018,1,0,0,0,0
10018,2,1.826e-07,2.5895,-21,1000
10019,1,0,0,0,389
10019,2,0.0004902,1.599,389,1000
10020,1,0,0,0,150
10020,2,6.68e-06,1.6464,150,298
10020,3,2.409e-14,5,45,490
10020,4,8.009e-05,1.6508,310,617
10020,5,0.0006384,1.3075,334,1112
10023,1,0,0,0,239
10023,2,0.003711,1.4965,238,1208
10023,3,0.06497,1.1401,534,1910
10023,4,0.03425,1.2208,469,3460
10023,5,0.0113,1.3597,473,4981
10024,1,0,0,0,99
12675,1,0,0,0,64
12675,2,4.894e-08,2.5502,64,245
12675,3,2.769e-07,2.4963,144,730
10024,2,4.605e-05,1.8888,98,239
10024,3,0.0009381,1.3966,146,406
10024,4,0.002497,1.2454,173,556
14891,1,0,0,0,-93
10026,1,0,0,0,188
10026,2,0.000619,1,188,209
10026,3,1.786e-05,1.7387,165,1202
10027,1,0,0,0,192
10027,2,2.285e-08,2.9435,191,411
10027,3,0.0001028,1.5097,271,1147
10028,1,0,0,0,4
10028,2,7.112e-10,3.1428,-223,97
10028,3,8.357000000000001e-15,5,-267,163
10028,4,2.725e-14,5,-176,250
10028,5,1.127e-14,5,-259,330
10028,6,0.00117,1.2917,174,496
10028,7,0.00325,1.1654,245,1222
10031,1,0,0,0,101
10031,2,6.219e-05,1.3966,89,193
10031,3,2.862e-14,5,-77,273
10031,4,9.291e-05,1.5734,164,699
10038,1,0,0,0,144
10038,2,0.0026,0.5004999999999999,137,158
10038,3,4.587e-10,3.4357,14,334
10038,4,0.0004204,1.4283,263,758
10038,5,0.0001161,1.6075,206,1202
10042,1,0,0,0,0
10042,2,1.745e-06,2.2755,-1,4
10042,3,4.951e-07,2.5567,3,210
10042,4,2.167e-05,1.9591,57,409
10042,5,0.0001451,1.6685,97,703
10046,1,0,0,0,901
10046,2,1.373e-05,2.0623,844,978
10046,3,0.0009821999999999999,1.3263,897,1500
10050,1,0,0,0,129
10050,2,7.753e-07,2.3458,128,324
10050,3,8.158e-15,5,-145,515
10050,4,2.266e-05,1.915,245,1000
10054,1,0,0,0,200
10054,2,3.334e-16,4.9825,-860,298
10054,3,1.598e-14,5,-223,402
