noct,ladate
9337,"02/01/21 15:40:00"
9343,"01/07/94 00:00:00"
9343,"01/20/98 00:00:00"
9343,"02/02/21 13:45:00"
9343,"03/06/20 13:30:00"
9343,"02/15/16 10:45:00"
9343,"01/06/18 14:50:00"
9514,"12/27/12 11:20:00"
9695,"11/13/19 13:47:00"
9204,"01/13/88 12:00:00"
9204,"12/04/92 10:30:00"
9204,"05/03/12 09:40:00"
9204,"01/05/94 14:00:00"
9204,"01/27/88 13:45:00"
9204,"01/09/91 11:00:00"
9204,"02/17/88 09:20:00"
9204,"01/19/94 14:00:00"
9204,"02/20/95 10:40:00"
9204,"03/14/07 10:35:00"
9204,"11/06/12 09:50:00"
9204,"01/27/09 10:30:00"
9419,"03/03/20 10:10:00"
9419,"03/10/20 14:45:00"
9450,"02/03/21 15:35:00"
9450,"12/29/21 11:50:00"
9450,"02/08/21 12:30:00"
9694,"01/23/18 11:15:00"
9220,"01/05/18 09:27:00"
9220,"01/05/18 11:00:00"
9220,"01/21/18 08:11:00"
9704,"11/18/19 13:07:00"
9704,"01/28/14 11:15:00"
9704,"12/13/23 10:51:00"
9704,"12/14/23 10:42:00"
9704,"12/14/23 11:31:00"
9704,"12/14/23 12:25:00"
9710,"03/30/24 10:47:00"
9246,"06/01/16 10:50:00"
9246,"05/29/08 10:00:00"
9246,"02/26/24 11:50:00"
9847,"08/15/00 07:00:00"
9847,"07/15/00 06:00:00"
9847,"06/15/00 05:00:00"
10304,"02/03/21 12:25:00"
10304,"01/03/14 12:00:00"
10313,"12/17/19 12:13:00"
9847,"05/15/00 04:00:00"
9847,"03/29/06 09:30:00"
9849,"06/01/16 10:50:00"
9849,"05/29/08 10:00:00"
9849,"02/11/14 10:19:00"
10052,"11/27/19 11:54:00"
10052,"02/01/21 14:39:00"
10052,"01/03/03 16:00:00"
10052,"01/13/04 11:05:00"
10052,"11/03/12 11:30:00"
10052,"03/29/01 16:00:00"
10052,"02/11/13 11:40:00"
10052,"01/04/12 10:50:00"
10115,"12/04/92 20:40:00"
10115,"02/12/88 10:30:00"
10115,"12/04/92 14:00:00"
10115,"01/06/88 14:35:00"
10115,"01/18/99 11:45:00"
10115,"04/13/89 10:00:00"
10246,"02/24/93 10:40:00"
10292,"09/30/99 15:10:00"
10294,"02/03/94 00:00:00"
10295,"02/03/94 00:00:00"
10304,"01/17/14 13:25:00"
10304,"03/05/14 13:40:00"
10304,"12/22/20 12:06:00"
10304,"02/05/08 13:30:00"
10304,"01/23/13 11:30:00"
10304,"02/26/16 13:40:00"
10304,"06/19/13 11:50:00"
10304,"02/23/15 14:00:00"
10304,"01/23/95 13:40:00"
10304,"03/14/19 14:15:00"
10304,"02/14/18 11:50:00"
10304,"01/14/20 13:30:00"
10304,"01/28/21 11:21:00"
10304,"11/26/19 13:37:00"
10304,"01/06/94 15:15:00"
10311,"01/23/95 22:00:00"
10311,"01/01/00 00:00:00"
10356,"07/16/10 11:30:00"
10478,"02/10/16 10:15:00"
10514,"01/22/21 12:15:00"
10514,"01/03/24 10:11:00"
10514,"02/23/24 13:14:00"
10506,"02/01/21 13:10:00"
10506,"02/03/21 09:48:00"
10507,"02/01/21 13:10:00"
10507,"02/03/21 09:48:00"
10510,"10/28/20 11:09:00"
10553,"12/11/23 11:58:00"
10512,"01/01/50 11:00:00"
10512,"01/01/50 10:00:00"
10512,"02/22/24 14:27:00"
10512,"02/22/24 09:55:00"
10512,"01/02/24 13:54:00"
10512,"01/02/24 11:27:00"
10512,"01/13/04 12:20:00"
10512,"01/15/23 08:42:00"
10512,"11/05/23 08:50:00"
10512,"11/14/23 11:06:00"
10512,"01/11/23 10:06:00"
10512,"11/14/23 12:30:00"
10512,"01/03/03 12:10:00"
10512,"11/23/00 14:20:00"
