noct,nopt,h,q
396,22,4300,301
396,23,4400,330
396,24,4450,360
397,1,100,3.3499999
397,2,200,7.8499999
397,3,300,11.9
397,4,400,15.8
397,5,500,19.5
397,6,1000,36.799999
397,7,2000,70.699997
397,8,2500,87.599998
397,9,2700,94.599998
397,10,3000,106
397,11,3200,117
397,12,3400,131
397,13,3600,153
397,14,3700,169
397,15,3800,188
397,16,4000,230
397,17,4200,275
397,18,4400,324
398,1,50,0.89999998
398,2,80,2.3
398,3,100,3.6500001
398,4,130,5.4499998
398,5,160,7.0999999
398,6,200,9
398,7,250,11.1
398,8,500,20.6
398,9,750,30
398,10,2500,87
398,11,2750,95
398,12,3000,105
398,13,3100,110
398,14,3250,116
398,15,3350,125
398,16,3450,133
398,17,3550,143
398,18,3650,154
398,19,3750,170
398,20,4400,313
398,21,4500,355
399,1,50,1.88
399,2,80,3.75
399,3,100,5
399,4,130,6.8000002
399,5,160,8.6000004
399,6,200,11
399,7,250,13.3
399,8,500,24
399,9,750,33.400002
399,10,1000,43
399,11,1660,63
399,12,2310,84
399,13,2680,95
399,14,2930,104
399,15,3080,110
399,16,3260,117
399,17,3350,125
399,18,3450,133
399,19,3550,143
399,20,3650,152
399,21,3750,170
399,22,4400,313
399,23,4450,330
399,24,5000,500
400,1,50,1.88
400,2,80,3.75
400,3,100,5
400,4,130,6.8000002
400,5,160,8.6000004
400,6,200,11
400,7,250,13.3
400,8,500,24
400,9,750,33.400002
400,10,1000,43
400,11,1660,63
400,12,2310,84
400,13,2680,95
400,14,2930,104
400,15,3080,110
400,16,3260,117
400,17,3350,125
400,18,3450,133
400,19,3550,143
400,20,3650,152
400,21,3750,170
400,22,4400,313
400,23,4450,330
400,24,5000,500
1148,1,9,7.3299999
1148,2,117,11
1148,3,244,15.6
1148,4,1000,43
1148,5,1950,71.699997
1148,6,2502,89.900002
1148,7,2930,104
413,11,3500,83.5
413,12,3600,93
413,13,3700,101
1084,1,980,0
753,1,600,0.074000001
753,2,641,0.090000004
753,3,679,0.109
753,4,755,0.156
753,5,831,0.219
753,6,907,0.30199999
753,7,983,0.41
753,8,1060,0.54900002
753,9,1140,0.727
753,10,1210,0.95200002
753,11,1320,1.3200001
753,12,1420,1.76
753,13,1470,1.99
753,14,1640,3.0599999
753,15,1810,4.52
1125,1,220,0.059999999
1125,2,240,0.090000004
1125,3,260,0.13
1125,4,280,0.175
1125,5,320,0.28999999
1125,6,350,0.38999999
1125,7,390,0.54000002
1125,8,430,0.69999999
1125,9,540,1.13
1125,10,610,1.4299999
1125,11,770,2.1400001
1125,12,840,2.5
1125,13,900,2.8399999
1125,14,1020,3.6099999
1125,15,1120,4.3299999
1125,16,1200,4.9499998
1125,17,1320,6.0500002
445,1,935,0
445,2,944,0.0080000004
445,3,953,0.02
445,4,970,0.048
445,5,987,0.079000004
445,6,1004,0.114
445,7,1072,0.27200001
445,8,1082,0.273
445,9,1130,0.39500001
445,10,1178,0.54400003
445,11,1225,0.71799999
445,12,1320,1.16
445,13,1415,1.73
445,14,1510,2.4400001
445,15,1605,3.3099999
445,16,1795,5.5100002
445,17,1986,8.4300003
445,18,2176,12.1
