noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
1392,8,"04/09/22 03:00:00","10/12/23 00:00:00",540,5000,"5",14,,"C","06/04/24 14:59:00","06/04/24 14:59:00","08/02/22 00:00:00",,,"5",0,
1445,319,"01/01/00 00:00:00","01/01/50 00:00:00",2200,7500,"C1",54,"Courbe issue du lua-saarland (fichier platin du 16/09/2014) pour export Hydro2 et affichage des débits dans vigiecrue. A priori plus utilisée mais gardée pour export jacinthe","C",,"01/29/25 14:17:00",,,,,1,
1424,7,"02/01/13 21:30:00","09/08/13 05:20:00",250,1600,"3",13,,"C",,,,,,"3",,
1425,7,"09/08/13 05:20:00","01/01/50 00:00:00",250,1600,"4",12,"chgt courbe suite au ravinement des rives causé par le bétail, modification du tracé sans le jaugeage du 15/10/2013 pour éviter l'influence de la step située à l'amont du pont en rive droite","C",,,,,,"4",,
1426,7,"12/27/81 23:00:00","12/31/83 23:00:00",130,1270,"C17310",12,,"C",,,,,,"C17310",,
1427,7,"12/31/83 23:00:00","12/31/87 23:00:00",130,1450,"C17311",11,,"C",,,,,,"C17311",,
1428,7,"12/31/87 23:00:00","01/01/88 23:00:00",130,1450,"C17312",12,,"C",,,,,,"C17312",,
1431,315,"02/08/22 11:00:00","01/01/50 00:00:00",50,4250,"2",13,"Extrapolation basée sur Bliesbruck pont","C","08/23/24 11:14:00","08/23/24 11:31:00","06/12/23 12:00:00",,,"2",0,
1434,9,"09/14/08 00:00:00","01/01/50 12:00:00",380,1600,"1",15,,"C","08/23/24 16:06:00","08/23/24 16:11:00","12/12/11 11:00:00",,,"1",0,
1441,8,"01/01/95 00:00:00","05/19/07 17:00:00",400,5000,"1",18,"CT reprise par DREAL Alsace en 2012.
Changement échelle en mai 2007","C","01/17/25 10:52:00","01/17/25 11:48:00","11/21/12 13:30:00",,,"1",0,
1442,8,"05/01/68 00:00:00","01/01/95 00:00:00",800,5000,"0",18,"CT créée pour limiter l'intervalle publiable jusqu'en 1995.","C","01/17/25 10:52:00","01/17/25 12:05:00","11/21/12 13:30:00",800,,"0",0,
