noct,nopt,h,q
909,2,550,0.69999999
909,3,600,1.1
909,4,650,1.7
909,5,700,2.5
909,6,750,3.5
909,7,800,4.8000002
909,8,900,8.6000004
909,9,1000,13.6
909,10,1100,20
909,11,1200,30
909,12,1400,55
909,13,1600,83
909,14,1800,113
909,15,1900,130
931,1,500,1.3
931,2,550,1.6
931,3,600,2.4000001
931,4,700,4
931,5,800,6
931,6,1000,11
931,7,1500,24
931,8,2500,49
932,1,550,1.6
932,2,600,2.4000001
932,3,700,4
932,4,800,6
932,5,1000,11
932,6,1500,24
932,7,2500,49
932,8,3000,64
932,9,3600,87
933,1,500,1.5
933,2,600,2.5
933,3,800,6.5
933,4,1000,11.5
933,5,1500,25
933,6,2000,40
933,7,3000,72
933,8,3700,100
935,1,500,0.5
935,2,600,1.5
935,3,700,2.7
935,4,800,4
935,5,900,6
935,6,1000,9
935,7,1200,15
935,8,1400,20.5
935,9,1600,26.5
935,10,2000,36.5
935,11,2500,49
936,1,500,0.5
936,2,600,1.5
936,3,700,2.7
936,4,800,4
936,5,900,6
936,6,1000,9
936,7,1200,15
936,8,1400,20.5
936,9,1600,26.5
936,10,2000,36.5
940,1,100,0.1
940,2,150,0.25
940,3,200,0.5
940,4,250,0.86000001
940,5,300,1.3
940,6,400,2.3
940,7,500,3.5999999
940,8,600,5.0999999
940,9,800,9.1000004
940,10,1000,13.9
942,1,50,0.2
942,2,100,0.34999999
942,3,150,0.55000001
942,4,200,0.80000001
942,5,300,1.6
942,6,350,2.0999999
942,7,450,3.3
942,8,500,4
942,9,550,4.8000002
942,10,600,5.8000002
942,11,700,8
942,12,800,10.5
942,13,900,13.5
942,14,1200,24
942,15,2000,56
949,1,1000,0.40000001
949,2,1020,0.66000003
949,3,1050,1.11
949,4,1100,2.1099999
949,5,1170,3.8599999
949,6,1240,6.0999999
949,7,1400,12.5
949,8,1550,20
949,9,2000,56
949,10,2300,86
949,11,2400,98
949,12,2800,150
949,13,3200,210
950,1,960,0.1
950,2,1000,0.40000001
950,3,1050,0.89999998
950,4,1100,1.9
950,5,1200,4.4000001
950,6,1300,7.4000001
950,7,1450,14
950,8,1600,23
950,9,2000,55
950,10,2300,85
950,11,2800,150
950,12,2900,165
954,1,-20,0
954,2,0,0
954,3,20,0.0099999998
954,4,60,0.11
954,5,100,0.22
954,6,150,0.40000001
954,7,200,0.63
954,8,250,0.86000001
954,9,300,1.24
954,10,400,2
954,11,500,3
954,12,600,4.1999998
954,13,750,6.4499998
963,1,200,0.0099999998
963,2,220,0.050000001
963,3,240,0.090000004
963,4,260,0.15000001
963,5,280,0.23999999
963,6,300,0.40000001
963,7,340,0.89999998
963,8,390,1.7
963,9,440,2.7
963,10,500,4.1999998
963,11,600,6.6999998
963,12,800,12.9
963,13,1000,20.5
963,14,1200,30
963,15,1500,45
963,16,1700,57
963,17,1900,70
964,1,100,0.13
964,2,220,0.49000001
964,3,260,0.64999998
964,4,300,0.85000002
964,5,350,1.6
964,6,450,3.5999999
964,7,550,6.1999998
964,8,700,11
964,9,800,15
964,10,900,20
964,11,1100,32
964,12,1300,46
964,13,1400,54
964,14,1500,63
964,15,1600,73
964,16,1700,85
964,17,1900,115
970,1,20,0.079999998
970,2,50,0.125
970,3,100,0.25
970,4,120,0.34999999
970,5,150,0.56
970,6,200,1.01
970,7,300,2.0999999
970,8,500,5
970,9,650,7.5500002
971,1,-10,0.0099999998
971,2,10,0.029999999
971,3,30,0.079999998
971,4,50,0.14
971,5,70,0.20999999
971,6,100,0.36000001
971,7,150,0.75999999
971,8,200,1.4
971,9,300,2.8
971,10,500,6
971,11,650,8.6999998
971,12,750,10.7
972,1,-30,0.0020000001
972,2,-10,0.0099999998
972,3,0,0.02
972,4,30,0.064999998
972,5,60,0.125
972,6,70,0.15000001
972,7,130,0.38999999
972,8,200,0.88
972,9,300,1.6799999
972,10,400,3.0999999
972,11,500,4.6999998
972,12,600,6.5
973,1,-30,0.0020000001
973,2,-10,0.0099999998
973,3,0,0.02
973,4,30,0.079999998
973,5,70,0.2
973,6,120,0.44999999
973,7,180,0.87
973,8,240,1.41
973,9,300,2.1900001
973,10,500,5.3899999
973,11,600,7.1999998
974,1,-50,0
974,2,-30,0.0049999999
974,3,-20,0.0099999998
974,4,-10,0.02
974,5,0,0.029999999
974,6,10,0.050000001
974,7,40,0.125
974,8,70,0.25999999
974,9,100,0.44
974,10,150,0.74000001
974,11,200,1.1
974,12,300,2.3
974,13,500,5.5
974,14,700,9.1000004
975,1,-50,0
975,2,-20,0
975,3,0,0.02
975,4,40,0.1
975,5,60,0.16
975,6,100,0.34
975,7,140,0.54000002
975,8,170,0.75
975,9,200,1.05
975,10,300,2.3
975,11,500,5.5
975,12,700,9.1000004
976,1,-50,0
976,2,-20,0.0099999998
976,3,-10,0.02
976,4,0,0.029999999
976,5,10,0.050000001
976,6,40,0.125
976,7,70,0.25999999
976,8,100,0.44
976,9,150,0.74000001
976,10,200,1.1
976,11,300,2.3
976,12,500,5.5
976,13,700,9.1000004
981,1,50,0.029999999
981,2,70,0.059999999
981,3,100,0.12
981,4,140,0.22
981,5,180,0.34
981,6,260,0.77999997
981,7,400,2.3199999
981,8,500,3.47
981,9,600,4.6999998
981,10,700,6
982,1,50,0.029999999
982,2,70,0.059999999
982,3,100,0.12
982,4,120,0.17
982,5,140,0.23
982,6,160,0.31
982,7,180,0.41
982,8,200,0.52999997
982,9,300,1.23
982,10,350,1.7
982,11,600,4.6999998
982,12,700,6
982,13,800,7.4000001
982,14,850,8.1999998
983,1,10,0
983,2,60,0.025
983,3,80,0.039999999
983,4,110,0.085000001
983,5,140,0.16
983,6,180,0.30000001
983,7,230,0.55000001
983,8,300,0.89999998
983,9,400,1.8
983,10,500,2.7
983,11,600,3.8
984,1,0,0
984,2,50,0.025
984,3,60,0.035
984,4,70,0.050000001
984,5,110,0.125
984,6,120,0.15000001
984,7,130,0.18000001
984,8,180,0.38
984,9,250,0.73000002
984,10,300,1.03
984,11,350,1.38
984,12,430,2.0999999
984,13,500,2.8
984,14,1000,7.8000002
989,1,50,0.20999999
989,2,70,0.31
989,3,80,0.37
989,4,100,0.52999997
989,5,110,0.62
989,6,120,0.72000003
989,7,130,0.82999998
989,8,140,0.94999999
989,9,170,1.4
989,10,200,2
989,11,300,4.9000001
989,12,400,8.8999996
989,13,450,11.4
989,14,500,14.4
989,15,530,16.5
989,16,580,20.5
989,17,630,25
989,18,750,37
989,19,800,43
989,20,1100,79
989,21,1300,105
997,1,-50,0
997,2,20,0
997,3,60,0.14
997,4,100,0.40000001
997,5,150,0.89999998
997,6,200,1.6
997,7,250,2.4000001
997,8,300,3.3
997,9,400,5.4000001
997,10,600,10.2
997,11,800,16
997,12,1200,32
997,13,1600,50
997,14,2000,72
997,15,2500,110
997,16,4000,260
997,17,4200,285
998,1,-50,0
998,2,40,0
998,3,60,0.02
998,4,100,0.14
998,5,140,0.30000001
998,6,200,0.77999997
998,7,280,1.74
998,8,400,3.9000001
998,9,600,7.6999998
998,10,1000,19.700001
998,11,1500,39
998,12,2500,87
998,13,3000,120
998,14,3400,150
1003,1,350,0.25
1003,2,400,0.5
1003,3,450,0.80000001
1003,4,500,1.2
1003,5,550,1.7
1003,6,600,2.2
1003,7,660,3
1003,8,760,4.5999999
1003,9,860,6.6999998
1003,10,960,9.1999998
1003,11,1180,16
1003,12,1380,24
1003,13,1580,35
1003,14,1780,48
