noct,nopt,a,b,h0,hsup
1078,1,0,0,0,235
1078,2,2.222e-05,1,-1520,280
1078,3,2.273e-05,1,-1480,324
1078,4,8.571e-05,1,-154.3,359
1078,5,2.362e-05,1.5,207.6,379
1078,6,4.384e-05,1.5,265.5,406
1078,7,0.0003837,1.1905,323.9,438
1078,8,0.0004587,1.1905,339.7,475
1078,9,0.0004978,1.1905,348.7,530
1078,10,0.0006054,1.1905,376.2,608
1078,11,0.0001769,1.4157,375.5,735
1078,12,0.0002171,1.4102,416.9,1951
10091,10,5.189e-12,5,952,1128
10091,11,4.654e-05,2.2834,1054,1182
10091,12,1.144e-05,2.4674,1024,1247
10091,13,0.00113,1.7497,1099,1295
10091,14,0.4612,0.7225,1208,1312
10091,15,0.5069,0.7225,1221,1346
10091,16,0.5569,0.7214,1235,1404
10091,17,0.002054,1.5796,1043,1477
10091,18,0.01578,1.2813,1114,1701
10091,19,0.01175,1.2916,1000,2154
10091,20,0.01266,1.2916,1064,2534
10091,21,3.675e-17,5,-2782,2827
10091,22,0.0161,1.2916,1326,4000
10092,1,0,0,0,829
10092,2,0.005615,0.8128,713,960
10092,3,0.002973,1,794,997
10092,4,0.00275,1,777,1053
10092,5,0.003786,1,853,1081
10092,6,0.1088,0.5004999999999999,1018,1104
10092,7,8.399e-05,1.8315,935,1133
10092,8,7.638e-13,5,851,1182
10092,9,1.184e-05,2.4674,1027,1247
10092,10,0.03561,1.1666,1153,1701
10092,11,0.0009377,1.6142,793,4004
10093,1,0,0,0,829
